0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:35:16 +0200] "GET /Simple-web-forum/WEB-SRC/StyleSettings.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:36:24 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 200 1004
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:36:24 +0200] "GET /Simple-web-forum/WEB-SRC/StyleSettings.css HTTP/1.1" 200 5421
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:36:25 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 200 1004
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:36:25 +0200] "GET /Simple-web-forum/WEB-SRC/StyleSettings.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:36:46 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 200 1004
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:36:46 +0200] "GET /Simple-web-forum/WEB-SRC/StyleSettings.css HTTP/1.1" 200 5421
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:37:17 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 200 1004
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:37:17 +0200] "GET /Simple-web-forum/WEB-SRC/StyleSettings.css HTTP/1.1" 200 5421
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:37:32 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 200 1004
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:37:33 +0200] "GET /Simple-web-forum/WEB-SRC/StyleSettings.css HTTP/1.1" 200 5421
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:37:45 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 200 1004
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:37:45 +0200] "GET /Simple-web-forum/WEB-SRC/StyleSettings.css HTTP/1.1" 200 5421
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:38:16 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 200 1004
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:38:16 +0200] "GET /Simple-web-forum/WEB-SRC/StyleSettings.css HTTP/1.1" 200 5418
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:38:30 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 200 1004
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:38:30 +0200] "GET /Simple-web-forum/WEB-SRC/StyleSettings.css HTTP/1.1" 200 5418
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:39:10 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 200 1004
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:39:10 +0200] "GET /Simple-web-forum/WEB-SRC/StyleSettings.css HTTP/1.1" 200 5415
0:0:0:0:0:0:0:1 - - [18/Aug/2017:20:39:58 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 200 1004
