0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:42:21 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:42:21 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 1908
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:44:07 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:44:08 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 2025
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:44:18 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:44:18 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 2013
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:44:36 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:44:36 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 2013
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:44:37 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:44:37 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 2013
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:44:44 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:44:44 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 2013
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:45:10 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:45:10 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 2007
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:45:20 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:45:20 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 2007
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:49:02 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:49:02 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 2148
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:49:02 +0200] "GET /Simple-web-forum/Pictures/italian-landscape-mountains-nature.jpg HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:49:12 +0200] "GET /Simple-web-forum/MainPageStuff HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2017:17:49:12 +0200] "GET /Simple-web-forum/Subforums.jsp HTTP/1.1" 200 2148
